time,open,high,low,close,Volume
2024-10-12,895034405286,912764039836,891943303477,905424717841,86116644706.73328
2024-10-13,905610308744,911849509495,888790807402,902286869819,62255642738.142654
2024-10-14,902339395606,949011330019,894112419104,941434788589,100306668417.23743
2024-10-15,941650670952,957660807129,911421513955,933574577229,125420794549.45029
2024-10-16,933726119508,949236048181,922524653765,934260323798,153368964365.6775
2024-10-17,934429996918,946194998664,914309903991,926528202784,99786177718.24258
2024-10-18,926535058594,950812923222,922554336837,941367126261,102824434994.68048
2024-10-19,941780919055,953565270731,935025590010,945192638957,85506819450.34923
2024-10-20,945087372902,973203393779,936429030901,969033418868,58750105820.63178
2024-10-21,969341182774,981046685049,940760990531,949987567346,113243377546.12575
2024-10-22,949770623616,959699429781,931526150428,942718552458,115310661568.47662
2024-10-23,942604503053,948348197197,902444040689,924918812443,95219956603.04892
2024-10-24,924857848031,944227947350,918202268651,934552235981,114137583608.66782
2024-10-25,934660684710,942270993190,873453445987,894284901320,103774805336.81772
2024-10-26,894598325672,916398877808,886691202264,907941585467,137217878292.62984
2024-10-27,907991648768,926561970292,902390782066,919618977535,61817366118.01711
2024-10-28,919655589461,941501967249,903691251763,934074572422,86083599332.24957
2024-10-29,934036514730,968382949908,930982945741,955452420836,139030785919.33176
2024-10-30,955685205336,971543445332,937027163513,950533086890,142524411108.71753
2024-10-31,951682365209,957408514703,910053146944,917381142989,111811515513.92961
2024-11-01,916238788428,935468193689,896974771758,910499523181,132230917724.76776
2024-11-02,910718680626,918456466116,894881688537,904283668925,102905324757.40805
2024-11-03,904300929626,906618441147,869560240358,888682110501,78788866085.05626
2024-11-04,888784173753,900310806153,860102365380,873640671026,103715263761.16942
2024-11-05,873723071388,908670588255,869204539945,892968764463,114776248557.59958
2024-11-06,893959885053,985771487180,893413458486,973542712465,269443609160.7937
2024-11-07,975371503047,1022384397027,964767155190,1007378981224,205795629967.61118
2024-11-08,1008378916848,1036756205958,997269558543,1023318502609,185259584567.58997
2024-11-09,1024707671242,1076836403360,1014548921748,1065321068154,179932403743.9995
2024-11-10,1065346016427,1137895151006,1048811257381,1105090112708,221825000422.73627
2024-11-11,1105237255564,1183617011800,1080790822463,1173886691579,356776166831.0293
2024-11-12,1174397875435,1222858856929,1104144026083,1147544628039,535465066789.6527
2024-11-13,1148499356712,1191776419449,1089338284099,1141312674596,374792044543.5735
2024-11-14,1142908988712,1187366196837,1093845137852,1114598188614,446146851741.338
2024-11-15,1115760206243,1169353336390,1094345471686,1154603924485,314417606484.91113
2024-11-16,1155101634321,1230132507739,1139394504175,1187847374588,284386962574.3375
2024-11-17,1188221730529,1226866039861,1140372019303,1178375308417,273679515738.99902
2024-11-18,1178695784952,1242501448556,1165204943304,1214948578520,236427449487.3273
2024-11-19,1216497031206,1242808606891,1175857086407,1199055847461,270584254933.99817
2024-11-20,1200111869551,1228198335795,1162301271197,1185088618328,258130444344.07373
2024-11-21,1187551748563,1277490303559,1164100107954,1259085652878,310732983123.7275
2024-11-22,1260389310427,1325517544477,1234246361050,1298549178165,345711984750.56726
2024-11-23,1300650188457,1398331155038,1285848865554,1335639268421,347664371538.26953
2024-11-24,1336150168872,1386127658110,1270627146992,1335769673067,339890628833.5756
2024-11-25,1336087836451,1389967809046,1274643764676,1306413313005,300130051847.40314
2024-11-26,1306343022727,1335748976287,1237283108639,1286552864907,381002519507.2766
2024-11-27,1286361864908,1379088714096,1268178530642,1362114517684,284930183212.50757
2024-11-28,1363460862040,1391323495779,1325451535981,1360281975672,291232039505.9152
2024-11-29,1360635366631,1417156016212,1344781447291,1398293360442,220753852651.15952
2024-11-30,1398765215713,1454469603957,1378471722627,1426000415387,270495375895.9511
2024-12-01,1427290344372,1488045482198,1398314821363,1463428924043,220477665112.7123
2024-12-02,1463887492154,1546929305321,1394650330399,1492762965427,370992487414.68335
2024-12-03,1493268357927,1587333930126,1409331611782,1521204155220,427239213078.1801
2024-12-04,1526565961789,1624309930108,1480774674229,1546952759142,466662219568.04846
2024-12-05,1548057498795,1611665154967,1477593994755,1530941728816,542635296413.55853
2024-12-06,1532151395805,1629898563235,1511660925595,1595385950629,429699315990.28326
2024-12-07,1597727434058,1643062970120,1573918323957,1611756076455,330267533840.77106
2024-12-08,1611962748982,1638053450553,1572728508376,1614534626163,236152362535.95624
2024-12-09,1614579753124,1619578603251,1356393199685,1458130418879,282949995139.5462
2024-12-10,1457665448753,1500686456502,1354828010051,1446669114613,512936862152.91406
2024-12-11,1447243908519,1537127261983,1406602163276,1519686291545,403395810646.8369
2024-12-12,1522162302355,1587676066035,1498600718151,1531124952520,319340145757.9641
2024-12-13,1532747311492,1571415882148,1505418877969,1546120194919,288841928065.28107
2024-12-14,1547103935429,1571205738488,1494070645485,1518281071189,225014579055.29288
2024-12-15,1518707286437,1559112787462,1494141061886,1548378838029,185870689573.72937
2024-12-16,1548686393116,1593921063815,1500787883292,1538892383772,246175371429.6601
2024-12-17,1539592051920,1585237399049,1495928963444,1523766824071,294834852697.3958
2024-12-18,1524224773644,1537958747256,1409340426997,1421470911852,293136938791.9148
2024-12-19,1422789433769,1461293142316,1310575433928,1346843059451,389451653842.85535
2024-12-20,1346946819085,1392908373591,1221033362945,1373365302122,521395370046.3928
2024-12-21,1374170029665,1423255268063,1310338163908,1329074083845,324922862613.36163
2024-12-22,1329301179377,1358734131800,1288934919674,1315366978359,220388594041.28085
2024-12-23,1315274894712,1387682171647,1287471075427,1372167866290,225167412764.58795
2024-12-24,1379597513484,1427359152576,1350955503267,1410089512171,217371339228.5704
2024-12-25,1409861423789,1431614052614,1382838668793,1403618020064,195285688750.8415
2024-12-26,1405233649436,1421185008481,1330053496919,1346634317215,165239814755.95874
